,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1047,골뱅이굴소스볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148.95kcal,1 봉지,421,78,5,16,"1,240",5
1048,용기면쌀국수김치맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,100 g,466,66,18,7,"1,229",--
1049,김치왕뚜껑용기라면,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,431.81kcal,110 g,528,70,23,9,"2,156",--
1050,쭈꾸미덮밥,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,800.14kcal,200 g,510,112,2,11,420,--
1051,굴패주해산물야채볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156.01kcal,117 g,119,6,6,10,292,--
1052,야채스틱앤저염쌈장,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.52kcal,100 g,178,32,2,8,"2,550",--
1053,쇠고기당면국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47.27kcal,1 봉,75,2,4,6,830,20
1054,게맛살마요무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59kcal,5 개,90,4,-,3,--,--
1055,청양마요치킨,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,455.88kcal,1 포,17,4,-,-,--,--
1056,사이다,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5kcal,190 ml,80,20,-,-,5,--
1057,마요오징어실채무침,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,90.2kcal,20 grams,63,2,1,10,175,60
1058,쇠고기팽이버섯떡볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,145.54kcal,130 g,82,10,4,2,14,--
1059,파채돈가스,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,475.2kcal,150 g,267,36,6,16,633,23
1060,뿌리채소닭순살조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,236.72kcal,1 잔,70,16,-,2,94,--
1061,달걀케첩볶음밥,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,524.35kcal,1 팩,364,61,7,15,364,59
1062,음료수탄산콜라,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5kcal,45 g,235,29,12,3,220,--
1063,햄버그스테이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,200 g,457,20,29,26,950,70
1064,코코아 음료 분말,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412kcal,17 g (2스푼),65,16,-,-,40,--
1065,감자수제비국,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.68kcal,1 bowl,392,66,6,15,"2,030",97
1066,돈육굴소스양배추볶음,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,164.07kcal,1 Package,630,90,26,9,--,--
1067,모듬어묵조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107.09kcal,100 gram,127,14,2,13,--,--
1068,베이컨김치볶음밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,472.32kcal,1 Cup,355,61,9,8,800,30
1069,배추쌈,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.23kcal,1 접시,13,2,-,-,65,--
1070,중화식돈까스,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,617.64kcal,1 개,180,25,3,13,340,--
1071,쫄면야채무침,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65.46kcal,140 g,550,91,17,8,--,--
1072,쫀득치킨꿔바로우후르츠소스,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,374.17kcal,100 g,174,23,4,9,400,30
1073,쇠고기야채죽,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.42kcal,1 Bowl,270,30,10,15,--,--
1074,쇠고기볶음밥,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,501.31kcal,1 그릇,329,41,11,12,598,105
1075,마라제육볶음,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,502.21kcal,300 g,572,31,33,39,832,128
1076,오이김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65kcal,1 개,7,1,-,-,6,--
1077,찹스테이크,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,453.78kcal,300 g,498,26,25,41,919,91
1078,감자케찹조림,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,59.35kcal,150 g,109,22,1,2,647,--
1079,한방삼계탕,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,814.67kcal,800 g,560,24,20,63,"2,160",120
1080,도토리냉국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.06kcal,1 개,125,25,2,1,"1,100",--
1081,명란계란찜,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.42kcal,1 dish,168,9,8,12,100,359
1082,치커리유자청무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.75kcal,200 g,738,169,-,14,350,--
1083,브로콜리새우살볶음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103.35kcal,130 g,123,13,4,10,299,--
1084,모듬버섯볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.54kcal,70 g,201,44,-,5,16,--
1085,시금치맛살무침,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120.91kcal,32 g (2Tbsp),190,7,16,7,125,--
1086,훈제오리쌈무머스타드소스,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.33kcal,1 인분,125,6,-,-,96,--
1087,두부간장볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78.57kcal,1 그릇,632,17,28,76,--,--
1088,갑오징어풋마늘무침갑오징어풋마늘무침대,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130.08kcal,15 g,50,-,-,10,--,--
1089,조기양념찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100.68kcal,100 g,182,1,10,20,602,138
1090,우엉잡채,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,111.94kcal,10 알,12,-,1,-,--,--
1091,감자밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.85kcal,100 g,44,8,-,1,--,--
1092,삼겹살구이갈비탕대,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482.84kcal,1 봉,175,7,8,19,--,35
