,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤
1840,김치전,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,229,34.05641025641026,5.871794871794871,10.569230769230769,692.8717948717949,17.615384615384617
1841,꼬막된장찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.2019128586609988,2.445270988310308,2.984059511158342,55.57810839532412,7.833156216790648
1842,꽁치불고기양념조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,18.31304347826087,4.069565217391304,1.5260869565217392,76.30434782608695,20.347826086956523
1843,코다리양념찜,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139,16.616091954022988,1.27816091954023,14.698850574712644,655.0574712643678,60.71264367816092
1844,단호박찜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,17.454545454545453,0.0,0.9696969696969697,2.909090909090909,0.0
1845,돼지갈비김치찌개,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,293,37.5121107266436,8.110726643598616,16.22145328719723,107.46712802768167,10.13840830449827
1846,무부추무침,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25,1.5625,1.3888888888888888,1.5625,289.5833333333333,5.729166666666667
1847,닭개장,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63,3.7058823529411766,2.223529411764706,5.929411764705883,1163.6470588235295,7.411764705882353
1848,약고추장볶음,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,118,27.65625,0.0,0.921875,13.828125,0.0
1849,수수밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,86.03636363636363,0.0,6.618181818181818,198.54545454545453,0.0
1850,애호박조갯살찌개,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,74,8.675862068965516,1.0206896551724138,7.144827586206897,1132.9655172413793,20.413793103448278
1851,감자쇠고기찌개,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,61,12.302521008403362,0.5126050420168067,2.0504201680672267,3.0756302521008405,0.0
