,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤,맛
1023,요구르트떠먹는형,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,9.688073394495412,4.403669724770642,5.284403669724771,63.41284403669725,14.091743119266056,7
1024,쇠고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,182.0,36.70588235294117,1.5294117647058822,6.117647058823529,9.176470588235292,0.0,8
1025,음료수과일맛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,21.5,0.0,0.0,25.8,0.0,7
1026,부추된장샐러드,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,5.64,2.82,0.94,0.0,0.0,6
1027,숙성김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,1.5416058394160583,0.5080291970802919,0.2978102189781021,16.677372262773723,0.2978102189781021,7
1028,꿔바로우,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,467.0,40.1328125,20.674479166666668,26.75520833333333,1067.7760416666667,63.239583333333336,11
1029,현동낙지볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,255.0,11.54320987654321,15.74074074074074,15.74074074074074,2058.8888888888887,26.234567901234566,5
1030,풋마늘양념무침,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,70.0,14.583333333333334,0.0,2.9166666666666665,1370.8333333333333,0.0,5
1031,달래된장국,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,5.225,0.475,3.325,557.175,0.0,9
1032,오리깻잎불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,364.0,13.0,18.2,28.6,442.0,117.0,6
1033,견과 혼합식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,9.714285714285714,7.771428571428571,3.8857142857142857,0.0,0.0,2
1034,패주미역국,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27.0,1.6615384615384616,1.6615384615384616,2.076923076923077,132.92307692307693,7.061538461538461,6
1035,양파볶음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,5.016666666666667,0.7166666666666667,4.3,279.5,7.166666666666667,9
